Symbol	Prob.	Huffman code
J	0.002197802197802198	10100000
,	0.002197802197802198	10100001
B	0.008791208791208791	1010001
!	0.008791208791208791	1100110
.	0.01098901098901099	1100111
V	0.01098901098901099	1111110
W	0.013186813186813187	1111111
F	0.015384615384615385	101001
G	0.015384615384615385	110010
K	0.024175824175824177	111110
C	0.026373626373626374	01010
I	0.02857142857142857	01011
P	0.03076923076923077	10101
D	0.03076923076923077	10110
M	0.03296703296703297	10111
H	0.03296703296703297	11000
Y	0.03736263736263736	11010
U	0.041758241758241756	11011
L	0.04835164835164835	11110
R	0.05054945054945055	0000
N	0.054945054945054944	0001
S	0.054945054945054944	0100
A	0.08131868131868132	1110
O	0.1076923076923077	001
T	0.11208791208791209	011
E	0.11648351648351649	100
